,did,short,n_class,mean_f1_xgb,mean_f1_catb,mean_f1_lgb,mean_f1_rf,mean_f1_etc,mean_f1_cart,mean_f1_lda,mean_f1_knn,mean_f1_wpKNN,mean_f1_gnb,mean_f1_ftt,mean_acc_xgb,mean_acc_catb,mean_acc_lgb,mean_acc_rf,mean_acc_etc,mean_acc_cart,mean_acc_lda,mean_acc_knn,mean_acc_wpKNN,mean_acc_gnb,mean_acc_ftt,mean_auc_xgb,mean_auc_catb,mean_auc_lgb,mean_auc_rf,mean_auc_etc,mean_auc_cart,mean_auc_lda,mean_auc_knn,mean_auc_wpKNN,mean_auc_gnb,mean_auc_ftt,dur_total_xgb,dur_total_catb,dur_total_lgb,dur_total_rf,dur_total_etc,dur_total_cart,dur_total_lda,dur_total_knn,dur_total_wpKNN,dur_total_gnb,dur_total_ftt
36,57,hypothyroid,3.0,0.3575308968347167,0.3296272897682019,0.3543770025795583,0.3607989826241474,0.3622062022540885,0.3683815507005356,0.32,0.382383935542924,0.3461906891174428,0.1371422464727069,0.3218063116073608,0.9175066312997349,0.9226790450928382,0.9153846153846154,0.9068965517241379,0.8981432360742705,0.8937665782493369,0.9230769230769231,0.8584880636604775,0.9084880636604774,0.1647214854111406,0.9195313870906829,0.7257458774407788,0.7271520440986409,0.7088192151761163,0.6725427503443928,0.6383288322419197,0.618581643472276,0.6758118105146432,0.5510815867219808,0.6278773813264739,0.5857639718759069,0.6317479014396667,0.06457483768463135,0.9381439685821533,0.09006690979003906,0.1813831329345703,0.292568564414978,0.0,0.0,0.008698105812072754,0.0660790205001831,0.0,11.73223102092743
37,46936,internet-firewall,4.0,0.8234329513752561,0.8258286767572027,0.8115006561955977,0.8426532502545794,0.8291211460549324,0.8817798036989059,0.6490703165905229,0.807840564196149,0.7723068173612411,0.642241418039141,0.7400160789489746,0.9983367666132601,0.9984283207446403,0.9719768062867171,0.998138399328603,0.9978789959563592,0.9979324025329976,0.8823910887312124,0.9938963912413215,0.9942854962996872,0.696452277409018,0.9896862149238587,0.9997962203700282,0.9997941183339625,0.9801924252963465,0.9995716467875948,0.9994932244255137,0.998813642795174,0.9907019619936438,0.9950968543341739,0.9980620957874313,0.9965705771231519,0.9627170383930206,0.7699568271636963,1.119667291641235,0.4502962827682495,2.294532656669617,3.352197647094727,0.05251634120941162,0.05251395702362061,0.1899287700653076,2.003335952758789,0.01570403575897217,179.2458121776581
38,381,ipums-la-98-small,7.0,0.4078750955946265,0.4103581048524007,0.4071167129290328,0.4097421368105262,0.4156911360819117,0.3810071355955408,0.4093591366440995,0.284344383262873,0.2876865787312981,0.3297289058951213,0.3594775170087814,0.7812959251837006,0.7930527722110888,0.7827655310621242,0.786439545758183,0.7880427521710087,0.7597194388777555,0.7645958583834336,0.6599866399465597,0.684502338009352,0.7312625250501001,0.7607596397399903,0.9697010767774265,0.9731394816512363,0.9701251786823208,0.9698742789701864,0.96927646547683,0.8682114130018928,0.9655690185753747,0.7544601890049007,0.8548151160490935,0.9592508358617844,0.9012891709804535,0.6887437105178833,1.082121253013611,0.4476512670516968,0.4933104515075684,0.885611891746521,0.03156948089599609,0.03163337707519531,0.01603031158447266,0.1734089851379395,0.0,27.435227394104
39,378,ipums-la-99-small,7.0,0.4453867554070567,0.4480695552780762,0.4434921903678159,0.4437186852804776,0.4264418164206386,0.4031158023678222,0.4158697202633924,0.2738930140196063,0.2935783677789626,0.382776996678507,0.3921962112188339,0.7895986433013001,0.8001130582249859,0.788920293951385,0.7940079140757491,0.7843979649519502,0.7659694742792538,0.770096099491238,0.64527981910684,0.6827586206896552,0.7635952515545507,0.7704367816448212,0.9721601491403499,0.9751872562871176,0.9722226583486435,0.9724151103270756,0.9711469272681071,0.8727054263051939,0.9632959935169298,0.737539271576124,0.8440280638684688,0.9649121608700971,0.9103568077087403,0.7004102468490601,1.109435200691223,0.4662152528762817,0.5523430109024048,1.122072815895081,0.03329706192016602,0.01581859588623047,0.02045190334320068,0.2043290138244629,0.0,41.44540822505951
40,46781,khan-2001,4.0,0.9699432511932512,0.9509611222111222,0.9781562881562882,0.9880952380952381,0.9945054945054945,0.8669315406815408,0.7267579642579644,0.9901785714285716,0.9901785714285716,0.9527375402375402,0.2045457527041435,0.9647058823529411,0.9470588235294117,0.9823529411764707,0.9882352941176471,0.9941176470588236,0.8647058823529411,0.7294117647058824,0.9882352941176471,0.9882352941176471,0.9529411764705882,0.3280000030994416,0.997497600438777,0.9975490196078433,0.9981900452488688,1.0,1.0,0.9051223776223777,0.8793870835047306,0.990909090909091,1.0,0.9807092417386535,0.4960801720619202,0.1272289752960205,1.560129165649414,0.06667375564575195,0.0956730842590332,0.1186459064483643,0.01578283309936523,0.0159919261932373,0.01298356056213379,0.0,0.0,0.9957656860351562
41,184,kropt,18.0,0.8622151935641167,0.5901767165178418,0.5747828918452935,0.8305535597851372,0.8003427641728879,0.8409691230699758,0.1887275853752086,0.4841142065768801,0.6962819384352984,0.164354639573855,0.5590844631195069,0.8416250890947967,0.6280470420527442,0.6662152530292232,0.8240021382751248,0.798984319315752,0.838952245188881,0.2727548111190307,0.5197968638631505,0.733535281539558,0.2327334283677834,0.6487849354743958,0.9866701549032791,0.9445221495929728,0.8628660060365618,0.9825862674297776,0.9767988720330525,0.9101391078656796,0.7257330298936482,0.7321571118466922,0.9539548297121263,0.7133931135046756,0.9716684401035309,1.508653521537781,1.208276033401489,0.9998965263366699,1.617276668548584,4.093006134033203,0.02917730808258057,0.01175785064697266,0.07889235019683838,0.5429978370666504,0.007837414741516113,81.64390981197357
42,40677,led24,10.0,0.6880046549993246,0.721568152441428,0.6971825951041621,0.7198470725311518,0.7181743069077078,0.5741567696101681,0.723337307761438,0.4762187116084393,0.5629820756258629,0.7147357214970171,0.6986090540885925,0.68859375,0.72328125,0.6978125,0.7212500000000001,0.719375,0.57171875,0.7246875,0.47203125,0.56859375,0.71640625,0.7009261190891266,0.9326718899285187,0.9484690025981818,0.9406411751355843,0.9456643137624029,0.9461379083117443,0.7620217234360813,0.9534249109263359,0.7065759531764633,0.8682757544487065,0.951322457670608,0.942895483970642,0.2741981744766235,0.9076031446456909,0.2892777919769287,0.2248084545135498,0.4931423664093018,0.0,0.001252651214599609,0.003593921661376953,0.08207714557647705,0.0,12.32958579063416
43,40496,led-7digit,10.0,0.6875037941836077,0.7002755686712572,0.6917302133007107,0.6838392086977241,0.6842453487005338,0.6794557298146422,0.7222586637596262,0.5751312092179198,0.6724648640645052,0.6236177769379013,0.6113726675510407,0.687,0.698,0.692,0.6849999999999999,0.6849999999999999,0.6799999999999999,0.7210000000000001,0.595,0.6769999999999999,0.632,0.6141623973846435,0.9335363817003166,0.9255122242654485,0.9358432263497237,0.9334815293958064,0.8983843709464558,0.8816019705752913,0.9499700728531091,0.7747866874210303,0.8993594503376989,0.921216812512245,0.905381578207016,0.1830148696899414,0.9686837196350098,0.09541177749633789,0.07884478569030762,0.1108980178833008,0.0,0.0,0.0,0.007876396179199219,0.0,1.766577124595642
44,45092,leukemia,3.0,0.8903703703703704,0.8515343915343916,0.9421661998132584,0.7361226186380986,0.8660792094615622,0.826567849361967,0.7704059986567726,0.856125116713352,0.8177793339558045,0.934640522875817,0.280226020514965,0.95,0.9142857142857144,0.9571428571428573,0.8714285714285713,0.9142857142857144,0.8785714285714287,0.8714285714285713,0.8785714285714287,0.8785714285714284,0.9642857142857142,0.5403628140687943,0.9873809523809525,0.9836904761904762,0.9988095238095237,0.9910714285714285,0.9964285714285713,0.9025000000000001,0.9875,0.8933333333333333,0.9821428571428571,0.9654761904761905,0.5100007146596909,1.221132516860962,6.133054733276367,0.3149816989898682,0.1114323139190674,0.1583268642425537,0.03181684017181396,0.0336226224899292,0.01488709449768066,0.0,0.0,0.9076204299926758
45,45093,lung,5.0,0.7351428933305182,0.857939457236329,0.8636726484045688,0.7054791225652062,0.7230040082256851,0.73442619006083,0.9292690058479532,0.8421250073184305,0.8723953171453864,0.7162644538588185,0.1807991206645966,0.8926829268292682,0.9317073170731707,0.9292682926829269,0.9097560975609756,0.9097560975609756,0.8560975609756097,0.9658536585365853,0.9121951219512197,0.9439024390243903,0.8902439024390245,0.6540202915668487,0.9861159423964303,0.9720546625424674,0.9855991075503271,0.9904770295623955,0.9892880685563613,0.8661954261954262,0.9966633284316211,0.896567047817048,0.9712056944374018,0.8872065311089701,0.5514396458864212,7.451718330383301,24.36804378032684,5.335920333862305,0.4760828018188477,0.3040659427642822,0.5180737972259521,0.17388916015625,0.04573798179626465,0.1091639995574951,0.03188419342041016,4.526496529579163
46,1084,lymphoma-burkitt,3.0,0.8253954501821023,0.7803044137523337,0.7966676072373378,0.7960541549627498,0.7631458549102094,0.73363712738986,0.8659844653038862,0.7814394572815981,0.7506750975716494,0.7665246448106539,0.3302605122327805,0.8795454545454545,0.8454545454545455,0.8613636363636366,0.8613636363636366,0.8454545454545455,0.775,0.9045454545454545,0.8431818181818181,0.8431818181818181,0.809090909090909,0.5844877362251282,0.9668362193362192,0.9689105339105339,0.9662806637806638,0.9719354256854256,0.9728697691197692,0.8167460317460318,0.9839105339105337,0.8474603174603175,0.9466305916305917,0.867812049062049,0.559103274345398,23.40568041801453,34.72436141967773,8.003644704818726,0.5973466634750366,0.5932363271713257,0.9263514280319214,0.4136176109313965,0.06558644771575928,0.2233269214630127,0.04546630382537842,5.434833168983459
